text_a	text_b	label
苏有朋要结婚了，但网友觉得他还是和林心如比较合适	好闺蜜结婚给不婚族的秦岚扔花球，倒霉的秦岚掉水里笑哭苏有朋！	unrelated
爆料李小璐要成前妻了贾乃亮模仿王宝强一步到位、快刀斩乱麻！	李小璐要变前妻了？贾乃亮可能效仿王宝强当机立断，快刀斩乱麻！	agreed
为彩礼，母亲把女儿嫁给陌生男子，十年后再见面，母亲湿了眼眶	阿姨，不要彩礼是觉得你家穷，给你台阶下，不要以为我嫁不出去！	unrelated
猪油是个宝，一勺猪油等于十副药，先备起来再说	传承千百的猪油为何变得人人唯恐避之不及？揭开猪油的四大谣言！	unrelated
剖析：香椿，为什么会致癌？	香椿含亚硝酸盐多吃会致癌？测完发现是谣言	disagreed
你听说过“伪狂犬病”吗？真正的狂犬病人不会学狗叫	盘点2018第一季度谣言，小孩感染狂犬病发作学狗叫上榜	unrelated
有钱人买房从不选这几层？开发商不会告诉你的秘密，看完才知多坑	买房别买这几层了，连行内人都被坑了，后会知道太晚	agreed
真假？武安某商场家长因孩子争抢玩具大打出手致一人死亡？	邯郸女子微信发布“老人猥亵女童”谣言被拘留	unrelated
其他文玩都在暴跌！为何南红玛瑙价格持续上涨！	盘点那些无厘头的紫砂壶谣言：豆腐开壶、黄龙山绝矿...	unrelated
「悦读」官方发布！恢复微信聊天记录教程！快点学起来……	手机操作微信恢复聊天记录，视频教程	agreed
每晚睡前洗脸后，阿莫西林配它抹脸，坚持4天皮肤又白又嫩	阿莫西林配白醋洗洗脸，变白原来真这么厉害，赶紧试一试	agreed
玲琅满目的植物油做饭致癌，来告诉你正确的选用窍门	猪油和转基因植物油，哪个会致癌？	unrelated
明察｜大连警方：正侦破特大杀人案，网传行凶视频与本案无关	北京将有雷达无法测量的特大狂风暴雨？气象专家辟谣	unrelated
一个补肾的偏方，只需几毛钱的枸杞告别时间短，一次根除	黄奕前夫喊话马苏，不想被广电局封杀就道歉，马苏这是摊上大事了	unrelated
大蒜加它一起吃，防血栓，延缓衰老，一生不得癌症！	女人皮肤暗黄、不水润不用慌！常吃8款养颜食物，排毒养颜更护肤	unrelated
沙湾有人吃羊肉得了SK6病毒？切！我还SK2呢！	「辟谣」病毒式网络谣言如何消除？	unrelated
林更新的一句话疑似支持鹿晗关晓彤分手，网友：也许他们会结婚呢	哪位明星结婚了？林更新，高圆圆赵又廷都来参加了	unrelated
夏季减肥的你千万别错过这些高效刮油食物哦！	最减肥的几种食物，消脂刮油，减肥族的首选	unrelated
廊坊网传飞机撒药治白蛾 市园林局：假消息！	朋友圈谣传医院将收取26元药事服务费 记者求证系假消息	unrelated
王珂再次破产欠六千万巨款！刘涛又哭了，夫妻一起做节目还债	《极限挑战》今天来温州大学拍摄？别传了，这是谣言！	unrelated
白百合电视剧下架，首次反驳出轨并没错！这样的女星还能理直气壮	大肚腩难看，减肥专家教你一招瘦肚子，做个小瘦子	unrelated
微信又出新功能了以后用微信可以免费上网了	微信新功能，可以免费上网，只需这样设置下微信	agreed
张一山患抑郁症将退出娱乐圈？回应：暂时死不了，拍完戏就休息	曝！张一山身体出现问题 未来可能退出娱乐圈	unrelated
冰淇淋融化的越慢，添加剂就越多吗？	每天都滴2滴风油精在肚脐，一个星期后身体竟发生了奇妙的变化	unrelated
美国公布拷问抓到的外星人的视频，称自己来自未来	美国终于公布了活着的外星人的视频！你被惊到了吗？	unrelated
买房万万别选这几种房子，很多人没听劝，交钱后肠子都悔青了	越来越多人买房不选这3个楼层了，听老师傅一说，后悔我家买早了	unrelated
付笛声、任静夫妻皈依佛门？一曲知心爱人重新回忆他们的爱情！	付笛生夫妇近照，两人皈依佛门不出家，四合院豪宅价值数亿	unrelated
嘲讽农民歌曲，那英公然放言刀郎砸电视！	刀郎终于上春晚了！某英隔空喊话：他要上春晚，我就砸电视	unrelated
茄子嫁接西红柿技术	神奇的嫁接术   茄子嫁接西红柿	agreed
40岁男人肾虚，每天吃点，补充雄激素，年轻20岁！	小便次数多，说明肾不好？这18个谣言临沂人别信啦！	unrelated
外星人疑是地球人祖先，科学家似发现其尸体，构造和人类多处相似	美太空舰队在小行星上捕获的新物种外星人，竟然和人构造大致相同	unrelated
华为手机进货价曝光，看看你买的手机多花了多少钱？	华为回应驻美前员工：无事实依据华为要求员工窃取机密为造谣	unrelated
TFBOYS要解散?王源已成立个人工作室	TFboys单人秀太尴尬被传解散	unrelated
李天一获超快减刑提前6年出狱，梦鸽满面春光	李天一提前6年出狱？北京监狱辟谣：仍在服刑	disagreed
很想儿女双全，想知道怎样才能怀上男孩？如何生儿子的秘诀	为何林志颖一直生儿子，贾静雯一直生女儿，控制生男生女的秘诀	unrelated
一把八角，专治前列腺，七天断根，一辈子不反复	一把八角，专治前列腺，4天断根，一辈子不反复！	agreed
老太好心救下一条白蛇，企料那蛇却咬死了老太的儿子	哑巴老太三救小白蛇，洪水来临时哑巴却开口说话：一命还恩	unrelated
又一主持人癌症复发！脸部变形不得已离开舞台，网友：心疼	又一主持人癌症复发 脸部变形不得已离开舞台 网友让人心疼	agreed
清朝末年广西僵尸袭人事件是真是假？官府亲自出动镇压	探究僵尸袭人的未解之谜	unrelated
内科医生推荐:冬天这样吃，3个月治好15年的老胃病，珍藏	睡前吃一个，48小时杀死幽门螺杆菌，不出一周治好老胃病	unrelated
王者荣耀年底停止运营？天美听了想打人！	18号下午开放系统验证？纯属谣言，苹果已经回应	unrelated
《前半生2》女主不是马伊琍，另换其人？	食物相克，这些抗癌食物不能一起吃	unrelated
有人说空心菜是蔬菜里的“毒中之王”，还能放心吃吗？	每天8杯水、散步最养生…十大常见养生谣言，信了就是害自己	unrelated
“飞机就要起飞，一个男人在机舱口跪下！”	飞机就要起飞，一个男人在机舱口跪下！这一幕让人泪崩	agreed
日本311大地震后7年 福岛玫瑰园如今杂草丛生	辟谣：福岛核电站影响日本留学吗	unrelated
全面取消中考？美术纳入高考？不属实！	教育部辟谣科学美术纳入中高考：未发布过该消息	unrelated
交通违法“清零”行动开始了！	辟谣丨听说交通违法“清零行动”卷土重来？	unrelated
吃了荔枝，就会查出酒驾？交警的实验告诉你这是真的！	开车别吃荔枝 会变成“醉驾”的	agreed
喝酒不醉的技巧竟是这？绝对意想不到的千杯不醉小妙招	喝酒千杯不醉的小妙招，你们学会了吗？	agreed
手机上免费看直播，世界上所有频道都能观看，打开微信就可以	不用再充VIP，教你一招，用微信可免费观看全网VIP视频	unrelated
于文华母亲去世，葬礼上这首歌让于文华痛哭流涕，全村都难过落泪	于文华母亲去世，葬礼上这首歌让于文华痛不欲生，全村都难过落泪	agreed
好尴尬 穿中国风百蝶衣亮相戛纳红毯，被保安驱赶了三次	李玉刚工作室发声明 澄清戛纳电影节红毯“被驱赶”谣言	unrelated
九江市民疑在九九隆超市买到“塑料紫菜”，打汤后嚼不烂难扯断	龙口粉丝是塑料做的吗？鲁中网记者现场实验击破谣言	unrelated
